Timestamp,Gender,Age,Location,Education,Employment status,Monthly income,Married or not,Type of banking account,Starting year ,Types of services,Frequency of usage,Way of withdrawing money,Amount withdrawn,Distance to bank from home,Distance to bank from work place,Rating in terms of cost,Rating in terms of time saving,Rating in terms of time of use,Rating in terms of physical security,Rating in terms of security (electronic)
2020/11/13 2:54:41 PM GMT+5:30,Female,15-29 years old,Gampaha,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",Yes,Savings account,2020,Cash withdrawal,Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,1 to 2 km,Good,Good,Average,Average,Average
2020/11/13 5:49:27 PM GMT+5:30,Male,30-44 years old,Rajagiriya ,Bachelor’s degree,Self-employed,"Between 20,000-50,000",Yes,Savings account,Between 2010-2015,Fund transfer;Balance inquiry / Bank statement,Occasionally [less than once a month],ATM machine,Between 1000-5000,1 to 2 km,1 to 2 km,Very Good,Very Good,Very Good,Very Good,Very Good
2020/11/13 5:59:11 PM GMT+5:30,Male,30-44 years old,Maharagama ,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,Between 2016-2020,"Bill payment;Fund transfer;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Very Good,Very Good,Very Good,Very Good,Very Good
2020/11/13 6:05:59 PM GMT+5:30,Male,15-29 years old,Alawwa,Bachelor’s degree,Self-employed,"Above 100,000",Yes,Both,Between 2016-2020,Bill payment;Fund transfer;Purchasing;Cash withdrawal,Daily-several times,Agent for mobile banking,More than 10000,2 to 5 km,2 to 5 km,Very Good,Very Good,Very Good,Very Good,Very Good
2020/11/13 6:12:08 PM GMT+5:30,Male,30-44 years old,Borella,Bachelor’s degree,Employed – full time [40 + hours a week],"Above 100,000",Yes,Both,Between 2010-2015,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-once,ATM machine,Between 5000-10000,1 to 2 km,1 to 2 km,Average,Good,Good,Good,Average
2020/11/13 6:28:24 PM GMT+5:30,Male,30-44 years old,Colombo ,Master’s degree,Self-employed,"Above 100,000",No,Both,Between 2016-2020,Fund transfer,Occasionally [less than once a month],At the bank teller,More than 10000,Less than 1km,Less than 1km,Very bad,Very bad,Very bad,Very bad,Very bad
2020/11/13 7:01:39 PM GMT+5:30,Male,30-44 years old,Gampaha,Master’s degree,Employed – full time [40 + hours a week],"Above 100,000",No,Savings account,Between 2010-2015,"Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Investment;Pension fund management;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Monthly-several times,ATM machine,More than 10000,Less than 1km,5 to 10 km,Good,Very Good,Very Good,Very Good,Average
2020/11/13 7:13:17 PM GMT+5:30,Male,30-44 years old,Gampaha,Professionally qualified,Employed – full time [40 + hours a week],"Above 100,000",Yes,Savings account,2020,Bill payment;Fund transfer;Balance inquiry / Bank statement;Investment,Monthly-several times,ATM machine,More than 10000,More than 10 km,Less than 1km,Average,Very Good,Average,Very Good,Good
2020/11/13 7:21:13 PM GMT+5:30,Male,30-44 years old,Pannipitiya,Master’s degree,Employed – part time [less than 40 hours a week],"Above 100,000",Yes,Both,Before 2010,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Investment;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-several times,ATM machine,More than 10000,Less than 1km,Less than 1km,Good,Very Good,Very Good,Very Good,Good
2020/11/13 8:48:12 PM GMT+5:30,Male,30-44 years old,Borella,,Employed – full time [40 + hours a week],"Above 100,000",Yes,Both,Between 2010-2015,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-once,ATM machine,Between 5000-10000,1 to 2 km,1 to 2 km,Average,Good,Good,Good,Average
2020/11/13 10:20:58 PM GMT+5:30,Male,30-44 years old,Rajagiriya ,,Self-employed,"Between 20,000-50,000",Yes,Savings account,Between 2010-2015,Fund transfer;Balance inquiry / Bank statement,Occasionally [less than once a month],ATM machine,Between 1000-5000,1 to 2 km,1 to 2 km,Very Good,Very Good,Very Good,Very Good,Very Good
2020/11/14 3:50:32 AM GMT+5:30,Male,30-44 years old,Borella,,Employed – full time [40 + hours a week],"Above 100,000",Yes,Both,Between 2010-2015,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-once,ATM machine,Between 5000-10000,1 to 2 km,1 to 2 km,Average,Good,Good,Good,Average
2020/11/15 5:08:08 PM GMT+5:30,Female,30-44 years old,Moratuwa ,Master’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",Yes,Savings account,Between 2016-2020,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Monthly-several times,ATM machine,Between 1000-5000,2 to 5 km,2 to 5 km,Very Good,Very Good,Very Good,Very Good,Very Good
2020/11/15 5:16:12 PM GMT+5:30,Female,30-44 years old,Kegalle ,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",Yes,Both,Between 2016-2020,Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement,Weekly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Good,Good,Good,Good,Average
2020/11/15 5:25:45 PM GMT+5:30,Female,15-29 years old,Jaela,Bachelor’s degree,Employed – full time [40 + hours a week],"Above 100,000",Yes,Savings account,Between 2016-2020,Balance inquiry / Bank statement,Occasionally [less than once a month],ATM machine,More than 10000,1 to 2 km,Less than 1km,Good,Good,Good,Good,Good
2020/11/15 5:31:33 PM GMT+5:30,Female,15-29 years old,Kanthale,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",Yes,Both,Between 2010-2015,Bill payment;Fund transfer;Purchasing;Balance inquiry / Bank statement,Weekly-several times,ATM machine,Between 1000-5000,Less than 1km,Less than 1km,Very Good,Very Good,Very Good,Very Good,Very Good
2020/11/15 5:41:32 PM GMT+5:30,Male,30-44 years old,Galle,Bachelor’s degree,Employed – full time [40 + hours a week],"Above 100,000",Yes,Savings account,Between 2016-2020,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Investment;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-several times,ATM machine,Between 1000-5000,2 to 5 km,Less than 1km,Very Good,Very Good,Very Good,Very Good,Very Good
